variable_UID,name
C70F1921-5ADB-43BF-9300-8F1D77F6469D,[Public Electricity and Heat Production][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
81AC4B79-B553-45FB-94B5-A37790B77381,[Public Electricity and Heat Production][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
DB95387B-8A72-4149-82CC-458DD6A87FE0,[Public Electricity and Heat Production][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
7B4E172E-C192-4039-AFB3-01106C020747,[Public Electricity and Heat Production][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
4BEBC907-E0AB-42C2-B555-B8B0D01C86BD,[Public Electricity and Heat Production][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
9062EC16-B947-4446-A54F-5BA3A10A5442,[Public Electricity and Heat Production][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
555CDC53-5E74-47FE-B7AC-28707976FEA5,[Public Electricity and Heat Production][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
5346155A-8D21-416F-ABBA-67FC088C3553,[Public Electricity and Heat Production][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
DE4B7AE5-C1ED-422B-B6B8-D93241282B75,[Public Electricity and Heat Production][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
2B888230-16E5-4F99-804D-5295B042A4CF,[Public Electricity and Heat Production][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
63711EB2-4831-43AC-B5AA-E61C57B9EE55,[Public Electricity and Heat Production][Other Fossil Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
E9E6FFC5-840D-48C5-BD83-805F155D515E,[Public Electricity and Heat Production][Peat][Emissions][CH4][kt][no source][no method][no target][no option][no type]
9D1780D9-D162-4DEB-A5F4-1B0BA451BB00,[Public Electricity and Heat Production][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]
77DD68A1-47B2-42E9-8514-425A04D2B542,[Public Electricity and Heat Production][Peat][Emissions][N2O][kt][no source][no method][no target][no option][no type]
E4721B22-DAD2-4D85-8EE3-92A15D974FAC,[Public Electricity and Heat Production][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
006E643A-1F14-4013-A88E-41169A406067,[Public Electricity and Heat Production][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
31FBA9CB-03B3-413C-9429-D39BD6ECEC21,[Public Electricity and Heat Production][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
A06B43B0-93C1-47F6-BBAC-4314EE19A341,[Petroleum Refining][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
8E274FAA-5DC6-44B6-BBAE-43CB0AD0BFCE,[Petroleum Refining][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
D3B97C0C-1746-4EF7-B7C3-051230F4CE64,[Petroleum Refining][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
255FAC0A-7888-40D5-A6CC-C5D95BCDB8C5,[Petroleum Refining][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
30522BD2-EB04-4C6E-BB59-835FFB622676,[Petroleum Refining][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
709E2A9E-06F1-4192-8125-E743F1ABAAB4,[Petroleum Refining][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
1ABA5D86-DDF5-424D-9405-2B2FE02AC3EC,[Petroleum Refining][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
22F123BF-A13B-4D9F-997D-21310AF745E2,[Petroleum Refining][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
DAB4604A-380A-4B61-B702-CEB66A379E59,[Petroleum Refining][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
EA6BE258-E2B7-41D8-ABBE-C88F89950EFD,[Manufacture of Solid Fuels and Other Energy Industries][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
EBDFC342-0BE5-4AB9-9D3F-AA061C5C5E25,[Manufacture of Solid Fuels and Other Energy Industries][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
30CA9183-4BDC-4F4C-B873-C379E3742C80,[Manufacture of Solid Fuels and Other Energy Industries][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
508BBADA-9E1B-4E1A-9411-BF6FC0FE9C70,[Manufacture of Solid Fuels and Other Energy Industries][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
41AA5684-8B3C-47BD-B99E-8FD74F92F437,[Manufacture of Solid Fuels and Other Energy Industries][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
8DFBEDFB-5FF1-4C31-B5DE-4E91D55CD771,[Manufacture of Solid Fuels and Other Energy Industries][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
A1B04242-9288-44ED-BED8-D3C6D4D35D50,[Manufacture of Solid Fuels and Other Energy Industries][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
DB47BBA7-BCB1-4E18-A5B1-8F290BEEE413,[Manufacture of Solid Fuels and Other Energy Industries][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
8290A237-A7F3-4327-8B5A-1BF9C28A778E,[Manufacture of Solid Fuels and Other Energy Industries][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]
BD14C241-A7BF-486E-93CE-F25E5A23BC5A,[Manufacture of Solid Fuels and Other Energy Industries][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
0DDE9B51-3D11-44CE-9E09-B653C3B51D72,[Manufacture of Solid Fuels and Other Energy Industries][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
26C8EFE3-9AAB-46D5-B190-3CA3795674BF,[Manufacture of Solid Fuels and Other Energy Industries][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
102CE810-5216-444A-BB6E-8B19A5C3DF20,[Iron and Steel][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
099E436F-4064-487B-8CAC-AF9B0B264390,[Iron and Steel][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
7561CD09-BA72-4F72-AC39-16E38B7E4881,[Iron and Steel][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
49832F45-9F2C-488F-A8C2-066938F2BF58,[Iron and Steel][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
617AE30D-A9D0-4FFF-8B0E-D8EA9FC43DC1,[Iron and Steel][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
62F63ADA-28C1-4A87-A1AE-F30947BF22D2,[Iron and Steel][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
4ADB250F-A958-469B-8ACC-8DD17C23EF28,[Iron and Steel][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
75901A9F-82F8-4381-BC12-1C51AD53ABC9,[Iron and Steel][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
BF35ED8B-47BA-442A-8723-F67141FD49CF,[Iron and Steel][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
C4B25115-E6AF-4C4D-BEF8-C687BC4BC24D,[Iron and Steel][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
5D574614-D98B-4A91-A6A6-CE09CD660F06,[Non-Ferrous Metals][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
910B60CA-FBF3-4C3F-ABE3-D1B09D472DA7,[Non-Ferrous Metals][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
C7C1E82C-C2CF-4EC2-A731-633CBCECBF28,[Non-Ferrous Metals][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
35660EA4-2D2E-4D18-92E8-0DC5E1CE70B9,[Non-Ferrous Metals][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
A233C4B5-F1D9-4DCE-9C16-EB0E5FCB28AA,[Non-Ferrous Metals][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
4ABEAF9E-1553-43C5-8F72-792CF08D875C,[Non-Ferrous Metals][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
F40BFC4E-9594-4B58-953C-08BF311B7BA2,[Non-Ferrous Metals][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
F337A1FF-D0B5-419F-A2FF-DB76FEFF31FE,[Non-Ferrous Metals][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
0A0F97A1-2539-4F7A-9B93-7A2BBEE7A9DB,[Non-Ferrous Metals][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
924E4EF2-3303-4AC9-970E-3A5538EFD925,[Non-Ferrous Metals][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
9C4D3EBA-2239-4AE9-ABF9-153A2417B3F7,[Non-Ferrous Metals][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
B1055FF0-AA4E-4F10-96B3-DAAE87A8B5AD,[Chemicals][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
1A66D534-77BF-4FBA-9AB8-B98D3FCB26BD,[Chemicals][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
FF47E20E-F2BD-4160-9853-56E31A94DDA0,[Chemicals][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
ADC4552B-4D95-4414-B23E-37FB2E8A66A6,[Chemicals][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
AD893AE3-1A45-46F6-9F23-CC07BF17853E,[Chemicals][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
4D507A9F-281C-44E4-85D9-80543B0F73A4,[Chemicals][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
852FBED0-D1C6-4CF5-87B4-2E2D0A3F8A65,[Chemicals][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
BE3DACC7-2C92-4AFD-81E7-F097F2DA94F0,[Chemicals][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
9F550D81-DF2E-4988-AE3F-1E3F9501C520,[Chemicals][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
DEBA6B31-15CC-4323-B251-EA89454FD9B6,[Chemicals][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
A35BBB15-E871-4B0D-9902-781619644E6C,[Chemicals][Other Fossil Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
7A9D7D8C-E00F-414B-9621-84059CBB6FC3,[Chemicals][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]
A1C151D0-32A2-4D06-A055-88E79D73AF93,[Chemicals][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
A028879D-2A1E-4A40-BF69-1FCCCA86359F,[Chemicals][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
D42155E1-F508-4833-A9E6-12F98DBBE9AE,[Chemicals][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
DAE51620-6569-4245-9BC0-443341DE4ADC,"[Pulp, Paper and Print][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
1D505F72-133A-439C-A5BA-8EA94A0D0F0D,"[Pulp, Paper and Print][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
A80D620B-0231-4FA8-88C2-BA51C5E579EB,"[Pulp, Paper and Print][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
642160D8-9C29-48E7-A0E9-EC1802B726F9,"[Pulp, Paper and Print][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
DB06ED2B-E517-456A-8941-8E533DFD0C98,"[Pulp, Paper and Print][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
426F170A-7089-4714-ADD2-DB27AC281917,"[Pulp, Paper and Print][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
EAB2A344-3783-4E02-8245-17D5F2154CA2,"[Pulp, Paper and Print][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
F9B14F73-B663-4553-AE3E-4D416F07E6AB,"[Pulp, Paper and Print][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
105AEB2B-57AD-4093-B1BE-3D5583642B6A,"[Pulp, Paper and Print][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
3A0F4C2D-BD8C-4866-A29A-050F3174D9C7,"[Pulp, Paper and Print][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
40DA2C2C-717C-4F65-93AD-3ABA6DFC538A,"[Pulp, Paper and Print][Other Fossil Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
7F3FA8F9-C7D7-4317-B270-2EA653B0323E,"[Pulp, Paper and Print][Peat][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
C540BB9D-2698-4B8A-AB19-866FF11AFEE8,"[Pulp, Paper and Print][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
E48B36D8-880C-41BB-917A-508A332623A8,"[Pulp, Paper and Print][Peat][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
8E1B57DB-E5C2-495E-A290-BF1F27632287,"[Pulp, Paper and Print][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
6D0D6236-1CEC-4F02-A10A-C4A91C0C5B61,"[Pulp, Paper and Print][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
6E7DDA65-E646-4D0E-8C00-6E59E9A6484F,"[Pulp, Paper and Print][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
52E9BB4B-8BB9-432A-AD17-7F4C37D12F2F,"[Food Processing, Beverages and Tobacco][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
833A2FAB-9EED-4E44-B7FD-156B77387A9E,"[Food Processing, Beverages and Tobacco][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
BC24F65B-ABF0-4654-9D24-D8CF4BB20DBD,"[Food Processing, Beverages and Tobacco][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
F70DE7F9-5800-43C5-94C2-7DDFDCA28F52,"[Food Processing, Beverages and Tobacco][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
7A0E1123-A7FA-4C8B-9123-FE67631964E7,"[Food Processing, Beverages and Tobacco][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
C4764FBB-90A0-4874-9BCE-2CBE07C8CAB0,"[Food Processing, Beverages and Tobacco][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
8F461B74-7490-4419-B457-725D38EB23F2,"[Food Processing, Beverages and Tobacco][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
FA376A3F-1456-4D08-A1C0-3EFE745C8C9D,"[Food Processing, Beverages and Tobacco][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
5B5E745C-5344-4F59-8B83-1D07167E2470,"[Food Processing, Beverages and Tobacco][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
17D72B35-CF12-4E13-A8CC-13C14462EA12,"[Food Processing, Beverages and Tobacco][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
27F29CA5-DE64-4C3B-A4B5-463B797302BD,"[Food Processing, Beverages and Tobacco][Other Fossil Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
39BBB8A3-8244-4C27-A24D-ED27ADF20ACE,"[Food Processing, Beverages and Tobacco][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
E6CB59FB-3A6D-48BC-88F6-55CE06F4CCB6,"[Food Processing, Beverages and Tobacco][Peat][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
983865AB-9B88-4A4C-9697-B022329F1683,"[Food Processing, Beverages and Tobacco][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]"
724E51C1-037C-4703-A4B1-DA9562A41E7C,"[Food Processing, Beverages and Tobacco][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]"
7DA5DCEA-266F-464B-B1A1-6B861E6643BC,"[Food Processing, Beverages and Tobacco][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]"
1B1EDDD0-8ADD-4D04-AA50-9C818DD1E46A,[Non-metallic minerals][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
5A97E967-6156-4057-8704-87605DF6D012,[Non-metallic minerals][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
4EFB4717-EE5B-4CAC-A2C1-B0D613ABDCB9,[Non-metallic minerals][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
279DEAA6-CD36-4F97-9F44-26A62E649C6E,[Non-metallic minerals][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
96CBE38D-09AE-4A8D-BF3E-C5EB5AE8402D,[Non-metallic minerals][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
4678394C-5156-443A-A6F0-97B465A1C50D,[Non-metallic minerals][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
13908E43-7987-4387-AE75-1F66D19D35E0,[Non-metallic minerals][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
9195E0B0-695D-4E16-9C14-3966DA9796F5,[Non-metallic minerals][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
D98AB78B-3FC8-4616-ADAB-44233320FB34,[Non-metallic minerals][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
CE71E89C-3DEC-46DC-95A7-98072CFD9216,[Non-metallic minerals][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
CCFAA1FA-E1D5-4F74-8CBA-55DA72A0F8D2,[Non-metallic minerals][Other Fossil Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
008803AB-6F81-4544-8AA1-D021F8A85FAE,[Non-metallic minerals][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]
FC4CF45E-3AD0-4A00-A8A8-E62CA4471C43,[Non-metallic minerals][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
D546DF86-949F-4E57-BF90-7E44ED4F9028,[Non-metallic minerals][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
6290C373-6531-4E09-91EF-6B2A4EFB9359,[Non-metallic minerals][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
66F87288-0E56-4D9F-A917-6249DE528E98,[Other Manufacturing Industries and Constructions][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
8D402C76-83CD-425B-8042-B5B5EDB51698,[Other Manufacturing Industries and Constructions][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
699B7EC5-4B58-4C36-A04D-CEAE14131E65,[Other Manufacturing Industries and Constructions][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
BA0F4CF9-161E-4126-B28D-7E664B4932F8,[Other Manufacturing Industries and Constructions][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
CED056DC-61E3-4139-9EE6-A07D66276B65,[Other Manufacturing Industries and Constructions][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
C06EFD06-C07C-4A09-9E65-DA7FE5395119,[Other Manufacturing Industries and Constructions][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
6B2568AD-6778-40B0-A42A-FE4AF163BB2B,[Other Manufacturing Industries and Constructions][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
66E68303-0FFE-44D5-A228-AB6678922C22,[Other Manufacturing Industries and Constructions][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
C48DED32-D806-4B4A-BEDB-DA4A81627ED3,[Other Manufacturing Industries and Constructions][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
630725DF-6040-44EC-80B5-CDBD61CD70F8,[Other Manufacturing Industries and Constructions][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
